"name","status","address_street","address_street2","address_city","address_state","address_zip","description","population_size","projects","web","issues","org_types"
Grove Certified Farmers&rsquo; Market: Mondays in Pacific Grove from 3:3pm to 7:30pm</span></p>
<p class=\"MsoNormal\" style=\"margin-left: 0.5in;\"><span style=\"font-size: 11pt; font-family: \">5. <span style=\"text-decoration: underline;\">Public Art
and Events</span> &ndash; Students will work with the Garden Steward to add beauty to
the garden by painting signs and raised planter beds. Students will work to
connect with the local Asian community to improve the Asian mediation area in the
Garden and participate in the Asian Festival representing and organizing Garden
activities on the event day in April. (2 students)</span></p>
<p class=\"MsoNormal\" style=\"margin-left: 0.5in;\"><span style=\"font-size: 11pt; font-family: \">6. <span style=\"text-decoration: underline;\">Natural
Building</span> &ndash; Students will research natural building techniques and work to
re-build the cobb benches and improve the strawbale tool shed in the Garden. (2
student)</span></p>
<p class=\"MsoNormal\" style=\"margin-left: 0.5in;\"><span style=\"font-size: 11pt; font-family: \">7. <span style=\"text-decoration: underline;\">Volunteer
Program</span> &ndash; Students will assist the Garden Steward to develop a community
wide Volunteer Program for the Garden. Students will learn the history of the
Garden in detail, develop outreach material to recruit new volunteers from the
community, and make connects and presentations to different local entities to
increase Garden volunteers. (2 students)</span></p>
<p class=\"MsoNormal\" style=\"text-align: justify;\"><strong><em><span style=\"font-size: 11pt; font-family: \">&nbsp;</span></em></strong></p>
<p class=\"MsoNormal\" style=\"text-align: justify;\"><strong><span style=\"text-decoration: underline;\"><span style=\"font-size: 11pt; font-family: \">Steps
to start your service with the Salinas-Marina Community Food Project:</span></span></strong></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify;\"><span style=\"font-size: 11pt; font-family: \"><span>1.<span style=\"font: 7pt \">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=\"font-size: 11pt; font-family: \">Decide
what project you are interested in and make sure the project&rsquo;s days and hours
available work with your schedule.</span></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify;\"><span style=\"font-size: 11pt; font-family: \"><span>2.<span style=\"font: 7pt \">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=\"font-size: 11pt; font-family: \">Email
the Project&rsquo;s Student Leader, Talia Firpo: Phone: <a href=\"tel:%28562%29%20472-8752\" target=\"_blank\">(562) 472-8752</a>, Email: &lt;<a href=\"mailto:tfirpo@csumb.edu\" target=\"_blank\"><span style=\"color: windowtext;\">tfirpo@csumb.edu</span></a>&gt; to set up an
orientation. Make sure to bring your personal calendar to this meeting.</span></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify;\"><strong><span style=\"font-size: 11pt; font-weight: normal;\"><span>3.<span style=\"font: 7pt \">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span></strong><span style=\"font-size: 11pt; font-family: \">Before the
meeting: Go on-line at: &lt;<a href=\"http://service.csumb.edu/site/x9005.xml\" target=\"_blank\"><span style=\"color: windowtext;\">http://service.csumb.edu/site/x9005.xml</span></a>&gt;
and print out the <span style=\"text-decoration: underline;\">Service Learning Agreement</span>, <strong><span style=\"font-weight: normal;\"><a href=\"http://service.csumb.edu/site/Documents/service/SLI0303.pdf\" target=\"_blank\"><span style=\"color: windowtext;\">Activity &amp; Time Log</span></a>,
and </span></strong><a title=\"Eval of student  by site supervisor\" href=\"http://service.csumb.edu/site/Documents/service/eval%20%20SL%20Student%20by%20Agency%206.09.pdf\" target=\"_blank\"><strong><span style=\"color: windowtext;\">Evaluation of Service Learning
Student Performance by Agency</span></strong></a>.<strong><span style=\"font-weight: normal;\"> Bring these forms to your
orientation.</span></strong><strong></strong></span></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify;\"><span style=\"font-size: 11pt; font-family: \"><span>4.<span style=\"font: 7pt \">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=\"font-size: 11pt; font-family: \">At
the orientation with the Student Leader:</span></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify; text-indent: 9pt;\"><span style=\"font-family: Symbol;\"><span>&middot;<span style=\"font: 7pt \">&nbsp;&nbsp; </span></span></span><span style=\"font-size: 11pt; font-family: \">Learn more about
the over-all Project, complete specific site paperwork, and commit to a project
listed above. </span></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify; text-indent: 9pt;\"><strong><span style=\"font-family: Symbol;\"><span>&middot;<span style=\"font: 7pt \">&nbsp;&nbsp; </span></span></span></strong><strong><span style=\"font-size: 11pt; font-weight: normal;\">Fill out
the Service Learning Agreement with the Student Leader.</span></strong><strong></strong></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify; text-indent: 9pt;\"><span style=\"font-family: Symbol;\"><span>&middot;</span></span><strong><span style=\"font-size: 11pt; font-weight: normal;\">S</span></strong><span style=\"font-size: 11pt; font-family: \">ign up for the
site on-line at: &lt;<a href=\"http://myslp.csumb.edu/\" target=\"_blank\"><span style=\"color: windowtext;\">http://myslp.csumb.edu/</span></a>&gt; </span><span style=\"font-size: 10pt; font-family: \">(Look
for us under Salinas-Marina Community Food Project) </span></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify;\"><span style=\"font-size: 11pt; font-family: \"><span>5.<span style=\"font: 7pt \">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=\"font-size: 11pt; font-family: \">Get
your Service Learning Agreement signed by your site supervisor. </span></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify;\"><em><span style=\"font-size: 11pt; font-family: \"><span>6.<span style=\"font: 7pt \">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span></em><span style=\"font-size: 11pt; font-family: \">Start and
complete your service! Always bring your Activity &amp; Time Log<em> (the Log must be filled out and signed by
your site supervisor every time you come to the site to get credit for your
hours serviced). </em></span></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify;\"><strong><span style=\"font-size: 11pt; font-weight: normal;\"><span>7.<span style=\"font: 7pt \">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span></strong><span style=\"font-size: 11pt; font-family: \">At the end of your service, and at LEAST
one week before you need to turn into your professor, give your site supervisor
your completed <span style=\"text-decoration: underline;\">Activity &amp; Time Log </span>to sign and an <a title=\"Eval of student  by site supervisor\" href=\"http://service.csumb.edu/site/Documents/service/eval%20%20SL%20Student%20by%20Agency%206.09.pdf\" target=\"_blank\"><strong><span style=\"color: windowtext;\">Evaluation of Service Learning
Student Performance by Agency</span></strong></a><strong><span style=\"font-weight: normal;\"> to fill out. </span></strong></span></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify;\"><span style=\"font-size: 11pt; font-family: \"><span>8.<span style=\"font: 7pt \">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><strong><span style=\"font-size: 11pt; font-weight: normal;\"><span>&nbsp;</span>Arrange to pick up both your Log and
Evaluation from your site supervisor to turn into your professor. </span></strong><span style=\"font-size: 11pt; font-family: \"><span>&nbsp;</span></span></p>
<p class=\"MsoNormal\" style=\"margin-left: 27pt; text-align: justify;\"><span style=\"font-size: 11pt; font-family: \"><span>9.<span style=\"font: 7pt \">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=\"font-size: 11pt; font-family: \">At
the arrange time, pick up your Log and Evaluation to turn into your professor.</span></p>
<p class=\"MsoNormal\" style=\"margin-left: 9pt; text-align: justify;\"><strong><span style=\"font-size: 5pt; font-family: \">&nbsp;</span></strong></p>
<p class=\"MsoNormal\" style=\"margin-left: 9pt; text-align: justify;\"><strong><span style=\"font-size: 11pt; font-family: \">Note: </span></strong></p>
<p class=\"MsoNormal\" style=\"margin-left: 9pt; text-align: justify;\"><strong><span style=\"font-size: 5pt; font-family: \">&nbsp;</span></strong></p>
<p class=\"MsoNormal\" style=\"margin-left: 9pt; text-align: justify;\"><strong><span style=\"font-size: 11pt; font-family: \">Students working at the Chinatown Community Garden,
before starting your service you must: </span></strong><span style=\"font-size: 11pt; font-family: \">Complete the Chinatown Background/Safety
Training at: &lt;<a href=\"http://service.csumb.edu/site/x19104.xml\" target=\"_blank\"><span style=\"color: windowtext;\">http://service.csumb.edu/site/x19104.xml</span></a>&gt;
and print out and complete the <span style=\"text-decoration: underline;\">Safety Training Test</span> at the end of the
Safety Training.</span></p>
<p class=\"MsoNormal\" style=\"margin-left: 9pt; text-align: justify;\"><strong><span style=\"font-size: 11pt; font-family: \">Students working at the Pueblo Del Mar Garden with
the residents, before starting your service you must: </span></strong><span style=\"font-size: 11pt; font-family: \">Complete a
background check, this background check paperwork will be given to you at your
orientation. </span></p>","","<p><!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:PunctuationKerning /> <w:ValidateAgainstSchemas /> <w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid> <w:IgnoreMixedContent>false</w:IgnoreMixedContent> <w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText> <w:Compatibility> <w:BreakWrappedTables /> <w:SnapToGridInCell /> <w:WrapTextWithPunct /> <w:UseAsianBreakRules /> <w:DontGrowAutofit /> </w:Compatibility> <w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel> </w:WordDocument> </xml><![endif]--><!--[if gte mso 9]><xml> <w:LatentStyles DefLockedState=\"false\" LatentStyleCount=\"156\"> </w:LatentStyles> </xml><![endif]--><!--[if gte mso 10]>
<style>
 /* Style Definitions */
 table.MsoNormalTable
	{mso-style-name:\"Table Normal\";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-parent:\"\";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:10.0pt;
	font-family:\"Times New Roman\";
	mso-ansi-language:#0400;
	mso-fareast-language:#0400;
	mso-bidi-language:#0400;}
</style>
<![endif]--></p>
<p>&nbsp;</p>","","Nutrition/Fitness|Food/Gardening|Environment|Education|Community/Economic Development|Agriculture","College/University"
"Kermit King Elementary School",0,"700 School House Circle","","Paso Robles","",93446,"<p>Teach Youth.</p>",540,"","","Education","Elementary School"
"Santa Cruz Community Counseling/Youth Services",1,"709 Mission St.","","Santa Cruz","",95060,"<p>Youth Services has over 80 staff who provide comprehensive counseling and support to youth in Santa Cruz county. Services are provided at may local schools as well as at the main office on Mission St.</p>","","","","","Non-Profit"
"Testing CP",0,"450 Main street","","Salinas","",93905,"","","","","",""
"Natividad Medical Center Social Services Department",1,"1441 Constitution Ave.","","Salinas","","755-4203","<p>Natividad Medical Center is an inpatient medical facility serving all groups in monterey County, majority of patients are indigent. Social workers conduct psychosocial assessments regarding child and elder abuse, domestic violence, substance abuse etc. Services include crisis intervention, counseling, and referrals.</p>","","","","Health & Human Services","Government"
"Catholic Charitites Family Supportive Services Program",1,"922 Hilby Ave.","","Seaside","",93955,"<p>To reduce poverty in Monterey, Santa Cruz, San Benito and San Luis Obispo counties by providing direct services to families living in emergency situations. Services Include direct aid for rental and utilities,assistance with Cal Fresh application and outreach, needs assessment and referrals to local agencies.</p>","","","","Health & Human Services","Non-Profit"
"Main Street Middle School",1,"441 Main Street","","Soledad","",93960,"<p>Student will perform tutorials in middle school math classroom. Provides service to 7th and 8th grade students.</p>",700,"","","Education","Non-Profit|Middle School"
"Amesti Elementary School",1,"25 Amesti Road","","Watsonville","CA",95076,"To teach students basics","","","http://amesti.pvusd.net","Arts|Before/After School|Education|Literacy|Technology","Elementary School"
"Access Monterey Peninsula",1,"2200 Garden Road","","Monterey","CA",93940,"<p>Access Monterey Peninsula (AMP) is a community nonprofit that was formed to help manage community access to local cable TV systems.  Our vision is to serve the seven cities and three school districts of the Peninsula and unincorporated areas of the County with a full array of exciting access services, equipment, and facilities. 
AMP is led by an eleven-member Board of Directors representing the community at large, education, and local government.  Executive Director, Paul Congo, came to AMP in May 1999, and is supported by Programming Director Kit Clements and Community Services Director Jim Martin.  These staff members are all media and television professionals with experience in developing PEG services over many years. 
The mission of Access Monterey Peninsula is to provide 1) facilities (including access to equipment) to create video programming and other media; 2) training in video production and other media; 3) playback of programming currently on three channels and eventually up to six channels on the Monterey Peninsula; 4) production assistance; 5) technical support; and 6) volunteer management.  Our facilities, equipment, and services are available to the community at-large, schools and youth, and local government agencies.</p>",100,"<p>Research and community Surveying</p>
<p>Documentary production ( TAT &amp; HCOM students)</p>
<p>\"Your Sanctuary\" Video Series</p>","http://amp.ampmedia.org","Youth Development|Women's Issues|Violence Prevention|Technology|Substance Abuse|Social Services|Public Safety|Media|Literacy|Law & Legal Services|Labor|Immigration |Environment|Education|Community/Economic Development|Arts|Agriculture|Advocacy","Non-Profit"
"Animal Friends Rescue Project",1,"PO Box 51083 ","","Pacific Grove","",93950,"<p>AFRP is dedicated to finding forever homes for stay, abandoned, abused companion animals &amp; ending the pet overpopulation program through focused spay/neuter programs.</p>","","<p>We would be open to this depending on responsibility of student.</p>","http://animalfriendsrescue.org","Youth Development|Social Services|Public Safety|Poverty|Peace&Justice|Housing & Homelessness|Foster Care|Environment|Education|Animal Welfare|Advocacy","Non-Profit"
"Aptos Academy",1,"1940 Bonita Dr.","","Aptos ","CA",95003,"Purpose: to provide an educational environment where students are excited about learning and can discover and meet their full potential while studying at their own rate whithin an ethical group on an enriched curriculum. ",124,"Grammer program evaluation.  Open to ideas.","http://aptosacademy.org/artmusicdrama.html","Arts|Before/After School|Education","Elementary School|Middle School"
"Barrett Elementary School",0,"895 Barrett Ave.","","Morgan Hill","CA",95037,"Elementary school in Morgan Hill Unified School District with large percentage of low-income and English language learners.","","","http://barrett/mhu.k12.ca.us","Education|Literacy|Youth Development","Elementary School"
"Big Sur Charter School (Pacific Union School District)",1,"47540 Highway One","","Big Sur","",93920,"<p>Big Sur Charter School is a \"Place-Based\" K-12 program serving students and their families.&nbsp; The program offers the option to design an individualized course of study based on the California Standards and engages in hands-on learning through partnerships with the local community.&nbsp; Some projects with students include:&nbsp; creating a field guide to native plants and animals; monitoring water quality of the Big Sur River with students; making bio-diesel and solar ovens; beach clean-ups; music and theater productions; and local literature and history studies.</p>",40,"<p>1.&nbsp; With a mentor teacher, implement video production curriculum \"LIghts, Camera, Leadership\" with high school-aged students.</p>
<p>2.&nbsp; Using Life Lab curriculum, work with young people in establishing and maintaining a learning garden.</p>
<p>3.&nbsp; Map and explore Big Sur watersheds with teacher and class of students.</p>
<p>5.&nbsp; Work with local artist and music / art event producer to learn technical and art production techniques at Spirit Garden, Big Sur.</p>
<p>&nbsp;</p>","http://bigsurcharterschool.org","Youth Development|Music/Performance Arts|Literacy|Before/After School|Arts|Advocacy","Middle School|High School|Elementary School"
"Breakthrough For Men ",1,"488 Gibson Ave","","Pacific Grove","CA",93950,"<p>To encourage, support, and educate all men to reclaim their hearts from the violence they have received and perpetuated.</p>","100-150","<p>Re- evaluating masculinity, re-evaluating the male role, projects to reach college males</p>","http://breakthroughformen.org","Violence Prevention|Substance Abuse|Health & Human Services|Global|Advocacy","Non-Profit"
"Community Alliance with Family Farmers -CAFF",1,"406 Main St. Suite 406","","Watsonville","CA",95076,"<p>Building a movement of rural &amp; urban people to foster family-scale agriculture that cares for the land, sustains local economies and promotes social justice.</p>",5000,"<p>None at the time</p>","http://caff.org","Nutrition/Fitness|Environment|Education|Community/Economic Development|Agriculture","Non-Profit"
"Camp SEA Lab",1,"Building 42 ","100 Campus Center","Seaside","",93955,"<p style=\"margin: 0.1pt 0in;\"><span style=\"font-size: 11pt; font-family: \">Mission:
Camp SEA Lab fosters lifelong excitement, scientific understanding, and
stewardship of our coasts and ocean by providing quality marine oriented
programs that promote science, education and adventure for youth, families and
teachers.</span></p>
<p>&nbsp;</p>","","","http://campsealab.org","Youth Development|Environment|Education","Non-Profit"
"Community Agroecology Network",1,"P.O. Box 7653","","Santa Cruz","CA",95061,"<p>The Community Agroecology Network(CAN)works together with rural comunities in Latin America to support sustainable livelihoods and environments by intergrating action education participatory action research, and trade innovations.</p>
<p>CAN is a U.S.-based non-profit organization that was founded in 2001 in response to the global coffee crisis, which plunged an estimated 20 million families into dire poverty. The founders initiated CAN after visiting several Latin American farming communities facing similar challenges.</p>
<p>Our objective is to link the grassroots struggles and efforts of these communities in a network of rural farmers and consumers that work together to support self-sufficiency and sustainable farming practices. 
CAN's vision is to work with rural communities to develop the capacity to become economically and environmentally sustainable through agriculture and social empowerment.</p>
<p>Our mission is committed to:
Action research - farm-based research that engages investigators and farmers in collaborative efforts to improve local sustainable farming practices
Education; community education, technical assistance, leadership development, consumer education, internships, and ongoing exchanges and communication between the member communities
Marketing;&nbsp; adding value to the rural processes of production and developing producer controlled markets that support local communities and create direct links with consumers.</p>
<p>CAN has developed a \"fair trade direct\" coffee marketing system, which directly links coffee co-ops in Central America with U.S. consumers. By cutting out the middlemen and acting as a nonprofit intermediary, CAN helps farmers receive a just and sustainable price for their coffee. CAN connects growers and consumers in a \"global village farmers market\", which brings together economic viability and ecological farming practices, including transitioning to organic production and reforestation.</p>","","","http://canunite.org","Youth Development|Immigration |Global|Environment|Education|Community/Economic Development|Agriculture","Non-Profit"
"Carmel Art Festival",1,"100 Campus Center, Bldg. 73","","Seaside","CA",93955,"A community-based, arts organization that has established an annual, nationally recognized sculpture contest.  The festival has a close partnership with the Visual & Public Art Department at CSUMB.","5,000","Possible, open to ideas","http://carmelartsfestival.com","Arts","Non-Profit"
"Carmel Mission Basilica ",1,"3080 Rio Road","","Carmel","CA",93923,"","60,000","","http://carmelmission.org","Arts|Education","Non-Profit"
"Court Appointed Special Advocates (CASA)",1,"201 Monterey Salinas Highway, Suite F","","Salinas","CA",93908,"To provide advocacy for children in the dependency court system on Monterey County. CASA advocates offer children consistency and a connection to a responsible adult. 
Child abuse/neglect prevention/intervention & foster care.
","","","http://casamonterey.org","Advocacy|Health & Human Services|Social Services","Non-Profit"
"CSUMB Small Business Development Center",1,"SBDC Cabrillo College","6500 Soquel Dr.","Aptos","",95003,"<p>Promote the development and growth of small business to excel in today's diverse, global economy</p>",50,"","http://central coastsbdc.org","Community/Economic Development","Non-Profit"
" CHEER (Coastal Habitat Education & Environmental Restoration)",1,"600 Johnson Way","","Gilroy","",95020,"","","","http://CHEERCentral.org","Youth Development|Public Safety|Housing & Homelessness|Environment|Education|Community/Economic Development|Agriculture|Advocacy","Non-Profit"
"Hospice of the Central Coast Griefbusters",1,"2 Upper Ragsdale,  Suite D210","","Monterey","",93940,"<p>To help children and teens move through the natural grief process in a healthy way so that they emerge with coping skills that may be used throughout life.</p>
<p>
<p>Understanding the loss of someone close and getting beyond the trauma and grief is very difficult for anyone - especially young people. Griefbusters can help.</p>
<p>Hospice of the Central Coast's nationally award-winning program gently guides young people and their families through the grieving process. We work with young people individually and in groups and are also available to meet with families and school staff. &nbsp;Upon request, we conduct presentations about grief and loss.</p>
<p>Our Griefbusters staff members are highly trained, skilled volunteers, not licensed therapists. We'll listen patiently, offer compassionate support, and answer your questions - in a confidential setting, free of charge.</p>
</p>
<p>&nbsp;</p>","","<p>A student is welcome to use any aspect of Griefbusters to create a campstone project. &nbsp;We are willing to support research and creativity.</p>","http://chomp.org/ways-to-give/volunteer/griefbusters","","Non-Profit"
"Christopher High School",1,"850 Day Road","","Gilroy","",95020,"","","","http://chs.gusd.ca.schoolloop.com","Education","High School"
"Christopher High School- Gilroy Unified School District",0,"850 Day Road","","Gilroy","",95020,"<p>California Public High School- Expecting all students to use their hearts and minds well.</p>",1436,"","http://chs.gusd.ca.schoolloop.com","Education","High School"
"Gilroy  Police Department (Neighborhood Resources Unit)",1,"7301 Hanna St.","","Gilroy","CA",95020,"<p>To build bridges between the police department and the city's youth.</p>","41,500","","http://ci.gilroy.ca.us","Violence Prevention|Substance Abuse|Public Safety|Health & Human Services|Education|Community/Economic Development|Before/After School","Government"
"Seaside Police Dept./Community Services",1,"440 Harcourt Ave","","Seaside","",93955,"<p>Purpose of community services division of SSPD is to provide education and prevention presentations to the community.</p>","","","http://ci.seaside.ca .us","Public Safety|Peace&Justice","Non-Profit"
"City of Seaside Fire Department",1,"1635 Broadway Ave","","Seaside","CA",93955,"The Seaside Fire department provides fire protection and emergency services. We are a government agency that interacts with other city departments and community entities. ","10,000","Depends","http://ci.seaside.ca.us","Public Safety","Government"
"Oldemeyer Center- City of Seaside",1,"986 Hilby Ave","","Seaside","CA",93955,"Community center. To serve the needs of the city of Seaside. PS99.    ","","Develop outreach program for Center's nutrition program with special attention to the Spanish-speaking population.","http://ci.seaside.ca.us/","Arts|Education|Health & Human Services|Nutrition/Fitness","Government"
"Front Street Inc./Wheelock Residential",1,"102 Wheelock Rd.","","Watsonville","",95076,"<p>Front Street Inc. provides residential and housing management services to individuals with severe and chronic mental health diagnoses. Front Street provides opportunity for individuals to participate as fully as possible in their own wellness and recovery process.</p>","","","http://cmetz.frontst.com","Health & Human Services","For-Profit"
"Coastlands, The, Aptos Foursquare Church",0,"280 State Park Drive","","Aptos","CA",95003,"We are delighted to help in the process of each person getting to know God better. Thus, as a church our focus is:

1. TO LOVE and accept you just as you are, for what you are, no matter where you are. Our love for you is unconditional, and we want to surround you with a sense of acceptance and belonging that we have found in Jesus. 

2.TO MEND and recover you from any points of hurt, distortion, fear, torment or imbalance in the way you think, feel or chose to live. Jesus loves us where we are, but takes us to where we were designed to live. 

3.TO TRAIN and instruct you in the many ways that God thinks, feels and moves -- as revealed in the Bible -- so that you are better able to understand and obey the way of life Jesus has taught. It is called the Kingdom of God. 

4.TO SEND and release you into the particular course of life and ministry service that God has chosen for you. Jesus has uniquely gifted you for your assignment, and the whole Body benefits most when each part is encouraged to be themselves. 

","","None.","http://coastlands.org","","Non-Profit|Faith-Based"
"Community Connection",1,"300 Harvey West Blvd","","Santa Cruz","",95060,"<p>To assist and support adults with psychiatric disabilities and their families in acheiving greater independence and competence as memebers of the community. Services provided include wellness support groups,employent preparation groups, and counseling.</p>","","","http://communityconnectionsantacruz.com","Health & Human Services","Non-Profit"
"Community of Caring, Monterey Peninsula",1,"PO Box 2477","2200 Garden Road, Level 2","Monterey","CA",93942,"<p>Nonprofit organization dedicated to improving the quality of life for youth and families in our communities.  This collaboration pursues initiatives targeted toward achieving progress on priority issues identified by the TELLUS project and community discussion.  
The Goals of Community of Caring Monterey Peninsula are:
  Promote a healthy set of community norms and values  
  Foster a better connection between the community and the education system  
  Embrace and promote our rich diversity  
  Reduce substance abuse  
  Enhance personal safety  
  Expand parent support and education mechanisms  
  Create additional activities for our youth  
  Reduce the incidence of HIV infection and teen pregnancy  
We are pursuing our mission by encouraging schools, businesses, local governments, service providers, religious organizations, and families to embrace and include the Community of Caring values and program elements in their own activities.
We are also working to serve as a networking tool for all of those that serve youth and their families on the Monterey Peninsula.  By networking, we hope to address gaps and overlaps in programs and services, and pursue collaborative opportunities.</p>",8000,"<p>Website and connected databases, video- film opportunities to document youth service.</p>","http://communityofcaringmp.org","Youth Development|Violence Prevention|Substance Abuse|Education|Community/Economic Development|Before/After School","Non-Profit"
"Community Partnership for Youth  (CPY)",0,"P.O. Box 42","","Monterey","CA",93942,"Community Partnership for Youth (CPY) is building a community one child at a time.  The grassroots organization was created in 1991 after the tragic death of an outstanding high school athlete during an alleged drug deal. Beginning as an all day summer program, it has now expanded to include:
¨	A safe place for young people to explore and discover their potential.  CPY staff endeavors to look at the \"whole child.\"
¨	A set of Standards based on integrity and respect, to develop values and character.
¨	Afterschool tutoring and enrichment program in four locations.
¨	All day Intersessions (8:30 a.m. ¿ 4:30 p.m.) during school breaks.
¨	Middle school leadership, job and life skills training.
¨	High school leadership, job experience and life skills training.
¨	Enrichment programs that include a Visual and Performing Arts Academy, service learning projects, sports and recreation.
¨	Special emphasis on learning and literacy.
¨	Reading lab and/or volunteer reading program. 
¨	Computer lab at several sites.
¨	Work experience for young people, parents and grandparents.

CPY provides consistent support in a safe environment for young people to develop boundaries and learn to build on their individual strengths.
    ","","We need to do a longitutinal study on the children since 1991.   Where are they?   What are they doing?   Have they stayed out of the system?   Did they go on to college?

How can children learn when they have learning disabilities?    What techniques can be incorporated to assist in their learning?

We believe if you have a talent or need our program can meet it!   Our children and families are very diverse and their needs are many.  We encourage you to sit down and converse with us.

How can we fill in the gap for students who are not on a college track but with the proper direction could be eligible for college.   We need help!!!","http://cpy.org","Arts|Before/After School|Education|Environment|Literacy|Media|Nutrition/Fitness|Public Safety|Substance Abuse|Technology|Violence Prevention|Youth Development","Non-Profit"
"CPY-Marina Del Mar Elementary School",0,"3066 Lake Drive","","Marina","CA",93933,"Beginning as an all day summer program, it has now expanded to include:
A safe place for young people to explore and discover their potential.  CPY staff endeavors to look at the \"whole child.\"
A set of Standards based on integrity and respect, to develop values and character.
Afterschool tutoring and enrichment program in four locations.
All day Intersessions (8:30 a.m. ï¿½ 4:30 p.m.) during school breaks.
Middle school leadership, job and life skills training.
High school leadership, job experience and life skills training.
Enrichment programs that include a Visual and Performing Arts Academy, service learning projects, sports and recreation.
Special emphasis on learning and literacy.
Reading lab and/or volunteer reading program. 
Computer lab at several sites.
Work experience for young people, parents and grandparents.

CPY provides consistent support in a safe environment for young people to develop boundaries and learn to build on their individual strengths.","","","http://cpy.org","Youth Development|Technology|Media|Literacy|Education|Arts","Non-Profit"
"Community Partnership for Youth - CPY",1,"800 Portola Drive Suite D","PO Box 42","Monterey","CA",93942,"<p>CPY began as an all day summer program, and has now expanded to include:
A safe place for young people to explore and discover their potential. CPY staff endeavors to look at the \"whole child.\"
A set of Standards based on integrity and respect, to develop values and character.
Afterschool tutoring and enrichment program in four locations.
All day Intersessions (8:30 a.m. 4:30 p.m.) during school breaks.
Middle school leadership, job and life skills training.
High school leadership, job experience and life skills training.
Enrichment programs that include a Visual and Performing Arts Academy, service learning projects, sports and recreation.
Special emphasis on learning and literacy.
Reading lab and/or volunteer reading program. 
Computer lab at several sites.
Work experience for young people, parents and grandparents.
CPY provides consistent support in a safe environment for young people to develop boundaries and learn to build on their individual strengths.
 
CPY has programs at mutiple public school sites in Seaside &amp; Salinas.  To begin service learning with CPY, you MUST first contact the CPY Service Learning Recruiter @ 831.394.4279.  You will then receive an orientation, training and be assigned to a school site.</p>","600-1,000","<p>CPY is also open to working with CSUMB students interested in developing research and projects that will lead to the academic and social success of youth in the Seaside and Salinas areas.  We are open to a conversation with all majors.
Contact Shari Hastey @ 831.394.4279.</p>","http://cpy.org","Youth Development|Violence Prevention|Technology|Public Safety|Nutrition/Fitness|Media|Literacy|Environment|Education|Before/After School|Arts","Non-Profit"
"Castro Valley Adult School",0,"4430 Alma Avenue","","Castro Valley","CA",94546,"<p>The mission of the Castro Valley Adult and Community Education Program is to offer a variety of quality educational and enrichment opportunities which respond to the lifelong and changing needs of our diverse populations.</p>","1,200","","http://cvadult.org","Technology|Nutrition/Fitness|Literacy|Education","High School|Government"
"Castro Valley Adult School",0,"4430 Alma Avenue","","Castro Valley","CA",94546,"<p>The mission of the Castro Valley Adult &amp; Community Education Program is to offer a variety of quality educational and enrichment opprotunities which respond to the lifelong and changing needs of our diverse population.</p>","1,200","","http://cvadult.org","Technology|Nutrition/Fitness|Literacy|Education","College/University"
"Castro Valley Adult School",1,"4430 Alma Avenue","","Castro Valley","CA",94546,"The mission of the Castro Valley Adult & Community Education Program is to offer a variety of quality educational and enrichment opprotunities which respond to the lifelong and changing needs of our diverse population. ","1,200","","http://cvadult.org","Education|Literacy|Nutrition/Fitness|Technology","Elementary School|Middle School|High School"
